mode,map,brawler,rank,wins,total,winrate,userate
bounty,Hideout,DOUG,14,1,8,12.5,0.1
bounty,Hideout,DOUG,15,4,5,80.0,0.1
bounty,Hideout,DOUG,16,0,2,0.0,0.1
bounty,Hideout,DOUG,17,1,1,100.0,0.3
bounty,Hideout,DRACO,10,0,1,0.0,0.1
bounty,Hideout,DRACO,12,1,2,50.0,0.0
bounty,Hideout,DRACO,13,4,7,57.1,0.0
bounty,Hideout,DRACO,14,2,3,66.7,0.0
bounty,Hideout,DRACO,15,2,2,100.0,0.1
bounty,Hideout,DYNAMIKE,10,5,6,83.3,0.7
bounty,Hideout,DYNAMIKE,11,3,6,50.0,0.3
bounty,Hideout,DYNAMIKE,12,5,12,41.7,0.3
bounty,Hideout,DYNAMIKE,13,51,113,45.1,0.3
bounty,Hideout,DYNAMIKE,14,2,8,25.0,0.1
bounty,Hideout,DYNAMIKE,16,1,1,100.0,0.1
bounty,Hideout,DYNAMIKE,19,1,2,50.0,1.4
bounty,Hideout,EDGAR,10,7,14,50.0,1.7
bounty,Hideout,EDGAR,11,23,39,59.0,2.1
bounty,Hideout,EDGAR,12,33,70,47.1,1.7
bounty,Hideout,EDGAR,13,411,798,51.5,2.1
bounty,Hideout,EDGAR,14,129,250,51.6,2.1
bounty,Hideout,EDGAR,15,44,85,51.8,2.2
bounty,Hideout,EDGAR,16,21,36,58.3,2.1
bounty,Hideout,EDGAR,17,5,7,71.4,1.9
bounty,Hideout,EDGAR,18,2,3,66.7,1.1
bounty,Hideout,EDGAR,19,1,1,100.0,0.7
bounty,Hideout,EDGAR,20,0,1,0.0,2.1
bounty,Hideout,EL PRIMO,10,0,1,0.0,0.1
bounty,Hideout,EL PRIMO,11,0,1,0.0,0.1
bounty,Hideout,EL PRIMO,12,2,4,50.0,0.1
bounty,Hideout,EL PRIMO,13,8,15,53.3,0.0
bounty,Hideout,EL PRIMO,14,2,3,66.7,0.0
bounty,Hideout,EL PRIMO,16,0,1,0.0,0.1
bounty,Hideout,EMZ,10,0,1,0.0,0.1
bounty,Hideout,EMZ,11,0,2,0.0,0.1
bounty,Hideout,EMZ,12,2,2,100.0,0.0
bounty,Hideout,EMZ,13,12,34,35.3,0.1
bounty,Hideout,EMZ,14,2,5,40.0,0.0
bounty,Hideout,EMZ,15,0,1,0.0,0.0
bounty,Hideout,EMZ,17,1,1,100.0,0.3
bounty,Hideout,EMZ,18,1,1,100.0,0.4
bounty,Hideout,EVE,11,2,2,100.0,0.1
bounty,Hideout,EVE,12,2,4,50.0,0.1
bounty,Hideout,EVE,13,20,40,50.0,0.1
bounty,Hideout,EVE,14,1,6,16.7,0.1
bounty,Hideout,EVE,15,0,1,0.0,0.0
bounty,Hideout,FANG,10,8,13,61.5,1.6
bounty,Hideout,FANG,11,10,23,43.5,1.2
bounty,Hideout,FANG,12,30,69,43.5,1.7
bounty,Hideout,FANG,13,311,638,48.7,1.6
bounty,Hideout,FANG,14,99,196,50.5,1.7
bounty,Hideout,FANG,15,35,66,53.0,1.7
bounty,Hideout,FANG,16,13,29,44.8,1.7
bounty,Hideout,FANG,17,4,6,66.7,1.7
bounty,Hideout,FANG,18,0,1,0.0,0.4
bounty,Hideout,FANG,19,0,4,0.0,2.7
bounty,Hideout,FINX,10,2,6,33.3,0.7
bounty,Hideout,FINX,11,8,9,88.9,0.5
bounty,Hideout,FINX,12,4,13,30.8,0.3
bounty,Hideout,FINX,13,110,230,47.8,0.6
bounty,Hideout,FINX,14,25,59,42.4,0.5
bounty,Hideout,FINX,15,5,13,38.5,0.3
